department,Environment,subscription_name,resource_identifier,resource_type,resource_location,consecutive_days,description, potential monthly savings ,,,,,,
turkiz,prd,turkiz-starfish-soc60-prd-001,nifi03_osdisk_1_a980ab3d774143f2918dd40a6843fffc,disks,westeurope,13,not attached to a vm,  14 ,,,"'nifi03_osdisk_1_a980ab3d774143f2918dd40a6843fffc',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,nifi05_osdisk_1_d88f3788b9f241ccaa094baec4ada57e,disks,westeurope,13,not attached to a vm,  14 ,,,"'nifi05_osdisk_1_d88f3788b9f241ccaa094baec4ada57e',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,cloudadmin-sharedresources,tamirrhel_osdisk_1_dc5887b9d83d467a836f738c4efa7577,disks,westeurope,13,not attached to a vm,  14 ,,,"'tamirrhel_osdisk_1_dc5887b9d83d467a836f738c4efa7577',",,,"'cloudadmin-sharedresources',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzdevdata,disks,westeurope,13,not attached to a vm,  14 ,,,"'luzdevdata',",,,"'turkiz-starfish-soc60-prd-001',"
pink,prd,pink-flamingo-galatzarcive-prd-001,cloud-restore-instance-account-xiy5zrw6_disk2_8c907923ae7d40b987ad1a66075c2662,disks,westeurope,13,not attached to a vm,  14 ,,,"'cloud-restore-instance-account-xiy5zrw6_disk2_8c907923ae7d40b987ad1a66075c2662',",,,"'pink-flamingo-galatzarcive-prd-001',"
gray,prd,gray-hippo-talpi-prd-001,talpibotmachine_datadisk_0,disks,westeurope,13,not attached to a vm,  14 ,,,"'talpibotmachine_datadisk_0',",,,"'gray-hippo-talpi-prd-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,sadab2_osdisk_1_bb570b7c1f714a9a8ae463ef0011cbf0,disks,uksouth,13,not attached to a vm,  13 ,,,"'sadab2_osdisk_1_bb570b7c1f714a9a8ae463ef0011cbf0',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,sadab1_osdisk_1_a697b31a24f74dbd88039a024e740ce6,disks,uksouth,13,not attached to a vm,  13 ,,,"'sadab1_osdisk_1_a697b31a24f74dbd88039a024e740ce6',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,ocp4registry-rhel8_osdisk_1_30d0e091438c477fb00e03fcd2a0c45d,disks,eastus,13,not attached to a vm,  13 ,,,"'ocp4registry-rhel8_osdisk_1_30d0e091438c477fb00e03fcd2a0c45d',",,,"'turkiz-starfish-paasmamram-dev-001',"
gray,dev,gray-hippo-iafsod-dev-001,pvc-c2198096-bb2c-4f9d-a667-b44e1d76c23c,disks,northeurope,13,not attached to a vm,  13 ,,,"'pvc-c2198096-bb2c-4f9d-a667-b44e1d76c23c',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,iaf_data_disk_vhd,disks,northeurope,13,not attached to a vm,  13 ,,,"'iaf_data_disk_vhd',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-tar-prd-001,aks-agentpool-28932843-5_osdisk_1_b0050b9307b04089875413c4da1fb5a0,disks,eastus,13,not attached to a vm,  13 ,,,"'aks-agentpool-28932843-5_osdisk_1_b0050b9307b04089875413c4da1fb5a0',",,,"'turkiz-starfish-tar-prd-001',"
turkiz,dev,turkiz-starfish-cloudlets-dev-001,captain-resh_disk1_3ccd5b4546ea4c819f51a9f0b0bb382d,disks,centralus,13,not attached to a vm,  13 ,,,"'captain-resh_disk1_3ccd5b4546ea4c819f51a9f0b0bb382d',",,,"'turkiz-starfish-cloudlets-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,iaf_os_disk_vhd,disks,northeurope,13,not attached to a vm,  13 ,,,"'iaf_os_disk_vhd',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-starfish-cloudlets-dev-001,omerhel8_osdisk_1_2965567fb3894bb2a9dae6283f371cff,disks,centralus,13,not attached to a vm,  13 ,,,"'omerhel8_osdisk_1_2965567fb3894bb2a9dae6283f371cff',",,,"'turkiz-starfish-cloudlets-dev-001',"
gray,dev,gray-hippo-iafsod-dev-001,pvc-a0382fb6-32bd-4776-ba7e-087059283da7,disks,northeurope,13,not attached to a vm,  13 ,,,"'pvc-a0382fb6-32bd-4776-ba7e-087059283da7',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,dev,turkiz-starfish-cloudlets-dev-001,ansible-master-omer_osdisk_1_25a39c092871456abe20e5f1f5623e06,disks,centralus,13,not attached to a vm,  13 ,,,"'ansible-master-omer_osdisk_1_25a39c092871456abe20e5f1f5623e06',",,,"'turkiz-starfish-cloudlets-dev-001',"
turkiz,dev,turkiz-starfish-cloudlets-dev-001,omer-acm-test_osdisk_1_4e4dff7118204e9d84012fe7a4bde1bd,disks,centralus,13,not attached to a vm,  13 ,,,"'omer-acm-test_osdisk_1_4e4dff7118204e9d84012fe7a4bde1bd',",,,"'turkiz-starfish-cloudlets-dev-001',"
gray,dev,gray-hippo-iafsod-dev-001,pvc-67b2405a-461c-4a42-b690-f9eef210d482,disks,northeurope,13,not attached to a vm,  13 ,,,"'pvc-67b2405a-461c-4a42-b690-f9eef210d482',",,,"'gray-hippo-iafsod-dev-001',"
black,prd,black-coal-tam-prd-001,nat-machine2-disk,disks,westeurope,13,not attached to a vm,  12 ,,,"'nat-machine2-disk',",,,"'black-coal-tam-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,ex_webshell_3108_disk,disks,westeurope,13,not attached to a vm,  12 ,,,"'ex_webshell_3108_disk',",,,"'turkiz-starfish-soc60-prd-001',"
gray,dev,gray-rhino-grayrhinoafik-dev-001,afikavd-8_osdisk_1_045f35c746884f07a27efe518b981b9b,disks,westeurope,13,not attached to a vm,  12 ,,,"'afikavd-8_osdisk_1_045f35c746884f07a27efe518b981b9b',",,,"'gray-rhino-grayrhinoafik-dev-001',"
black,prd,black-coal-tam-prd-001,lnx-0-ben-disk,disks,westeurope,13,not attached to a vm,  12 ,,,"'lnx-0-ben-disk',",,,"'black-coal-tam-prd-001',"
gray,dev,gray-rhino-grayrhinoafik-dev-001,afikavd-5_osdisk_1_0e6497678df34f01a733f4d8466231f4,disks,westeurope,13,not attached to a vm,  12 ,,,"'afikavd-5_osdisk_1_0e6497678df34f01a733f4d8466231f4',",,,"'gray-rhino-grayrhinoafik-dev-001',"
pink,prd,pink-cyclamen-crm-prd-001,crm9test_disk1_b8a192c1493849a9844484de5afec43f,disks,westeurope,13,not attached to a vm,  12 ,,,"'crm9test_disk1_b8a192c1493849a9844484de5afec43f',",,,"'pink-cyclamen-crm-prd-001',"
black,prd,black-coal-tam-prd-001,nat-machine1_disk1_a9b5dc35781445999e85f98941b3b3f8,disks,westeurope,13,not attached to a vm,  12 ,,,"'nat-machine1_disk1_a9b5dc35781445999e85f98941b3b3f8',",,,"'black-coal-tam-prd-001',"
black,prd,black-coal-tam-prd-001,dkr-img-puller_osdisk_1_10341228ec7d45ba9d4a562a04e840de,disks,westeurope,13,not attached to a vm,  12 ,,,"'dkr-img-puller_osdisk_1_10341228ec7d45ba9d4a562a04e840de',",,,"'black-coal-tam-prd-001',"
gray,dev,gray-rhino-grayrhinoafik-dev-001,afikavd-6_osdisk_1_2629e32fbc604f5d93ef55849cafd852,disks,westeurope,13,not attached to a vm,  12 ,,,"'afikavd-6_osdisk_1_2629e32fbc604f5d93ef55849cafd852',",,,"'gray-rhino-grayrhinoafik-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,mongoloid,disks,eastus,13,not attached to a vm,  10 ,,,"'mongoloid',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,mogolo,disks,eastus,13,not attached to a vm,  10 ,,,"'mogolo',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-evenmit-dev-001,evt-pp-ado-vm_osdisk_1_fbb0c86ac2c043cfb38e7fa173b4667f,disks,israelcentral,13,not attached to a vm,  9 ,,,"'evt-pp-ado-vm_osdisk_1_fbb0c86ac2c043cfb38e7fa173b4667f',",,,"'turkiz-starfish-evenmit-dev-001',"
turkiz,dev,turkiz-starfish-evenmit-dev-001,evt-pp-ado-vm_osdisk_1_7cab3c29a5584f1a8a6e267650e754a3,disks,israelcentral,13,not attached to a vm,  9 ,,,"'evt-pp-ado-vm_osdisk_1_7cab3c29a5584f1a8a6e267650e754a3',",,,"'turkiz-starfish-evenmit-dev-001',"
turkiz,prd,cloudadmin-sharedresources,pavd-host-50_osdisk_1_abd5edbf70644ebead25a8bfa6903f3d,disks,israelcentral,1,not attached to a vm,  9 ,,,"'pavd-host-50_osdisk_1_abd5edbf70644ebead25a8bfa6903f3d',",,,"'cloudadmin-sharedresources',"
turkiz,dev,turkiz-key-bladeforce-dev-001,jenkins_osdisk_1_0cdb6637ea06481081864ea598585d34,disks,uksouth,13,not attached to a vm,  8 ,,,"'jenkins_osdisk_1_0cdb6637ea06481081864ea598585d34',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,sps-disk-investigation,disks,westeurope,13,not attached to a vm,  7 ,,,"'sps-disk-investigation',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,callflowdisk2,disks,westeurope,13,not attached to a vm,  7 ,,,"'callflowdisk2',",,,"'turkiz-starfish-soc60-prd-001',"
gray,dev,gray-hippo-iafsod-dev-001,adfs_restore_os,disks,northeurope,13,not attached to a vm,  7 ,,,"'adfs_restore_os',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,hakirot-host-disk2,disks,westeurope,13,not attached to a vm,  7 ,,,"'hakirot-host-disk2',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,newvmwithps-disk1,disks,westeurope,13,not attached to a vm,  7 ,,,"'newvmwithps-disk1',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,snapshotdisktomer,disks,westeurope,13,not attached to a vm,  7 ,,,"'snapshotdisktomer',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,operations_disk1_a4b7bd42942146dc904044fe8f7a5b81,disks,westeurope,13,not attached to a vm,  7 ,,,"'operations_disk1_a4b7bd42942146dc904044fe8f7a5b81',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,matantest_osdisk_1_2231baafa26c44d4931206845fbbba41,disks,westeurope,13,not attached to a vm,  7 ,,,"'matantest_osdisk_1_2231baafa26c44d4931206845fbbba41',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,snow-windows--os-disk,disks,westeurope,13,not attached to a vm,  7 ,,,"'snow-windows--os-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,dockerchats-data-disk,disks,westeurope,13,not attached to a vm,  7 ,,,"'dockerchats-data-disk',",,,"'turkiz-starfish-soc60-prd-001',"
gray,dev,gray-hippo-iafsod-dev-001,addc_restore_os,disks,northeurope,13,not attached to a vm,  7 ,,,"'addc_restore_os',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,dev,turkiz-starfish-semca-dev-001,c-viewserver_osdisk_1_04b4bb8f7fb54b41963a7e55753dbf2d,disks,westeurope,13,not attached to a vm,  7 ,,,"'c-viewserver_osdisk_1_04b4bb8f7fb54b41963a7e55753dbf2d',",,,"'turkiz-starfish-semca-dev-001',"
olive,dev,olive-hina-maabedetmeamnim01-dev-001,startrek_lun_0_2_38a0ea3df57745d7826a313a90c7f4e5,disks,westeurope,13,not attached to a vm,  7 ,,,"'startrek_lun_0_2_38a0ea3df57745d7826a313a90c7f4e5',",,,"'olive-hina-maabedetmeamnim01-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,callflowdisk,disks,westeurope,13,not attached to a vm,  7 ,,,"'callflowdisk',",,,"'turkiz-starfish-soc60-prd-001',"
gray,dev,gray-hippo-iafsod-dev-001,exch_restore_os,disks,northeurope,13,not attached to a vm,  7 ,,,"'exch_restore_os',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,newsky_osdisk_1_99418d9f83d74b0bb06c26466255a2ea,disks,germanywestcentral,13,not attached to a vm,  7 ,,,"'newsky_osdisk_1_99418d9f83d74b0bb06c26466255a2ea',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,sysdigfwrd2_disk1_f18f941568464bab9b19e63a78321117,disks,westeurope,13,not attached to a vm,  7 ,,,"'sysdigfwrd2_disk1_f18f941568464bab9b19e63a78321117',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,moshikoshit,disks,westeurope,13,not attached to a vm,  7 ,,,"'moshikoshit',",,,"'turkiz-starfish-soc60-prd-001',"
olive,dev,olive-oil-amitpatzan-dev-001,projects-server_disk1_5af70699560e45a89efb65348d70ee7d,disks,westeurope,13,not attached to a vm,  7 ,,,"'projects-server_disk1_5af70699560e45a89efb65348d70ee7d',",,,"'olive-oil-amitpatzan-dev-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,cloudera-dev3_osdisk_1_0f2bf9d005284c1b99481fa516be10ca,disks,germanywestcentral,13,not attached to a vm,  7 ,,,"'cloudera-dev3_osdisk_1_0f2bf9d005284c1b99481fa516be10ca',",,,"'turkiz-key-bladeforce-dev-001',"
yellow,prd,yellow-corn-dvr-prd-002,idf-transcription-vm-channel-01_disk1_bb0f7b512c4d4a579d5f332b7072cbcb,disks,westeurope,13,not attached to a vm,  7 ,,,"'idf-transcription-vm-channel-01_disk1_bb0f7b512c4d4a579d5f332b7072cbcb',",,,"'yellow-corn-dvr-prd-002',"
turkiz,prd,turkiz-starfish-soc60-prd-001,profilemachine_disk1_07d2fe27d89b424fa57eecb8e7a616e2,disks,westeurope,13,not attached to a vm,  7 ,,,"'profilemachine_disk1_07d2fe27d89b424fa57eecb8e7a616e2',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,app1_osdisk_1_e89582943ac447be87b66b5d6239a194,disks,germanywestcentral,13,not attached to a vm,  7 ,,,"'app1_osdisk_1_e89582943ac447be87b66b5d6239a194',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,dev,turkiz-starfish-shahar-dev-001,cpr_osdisk_1_7f58e6e6965445ff92b85b4427bdd65d,disks,westeurope,13,not attached to a vm,  7 ,,,"'cpr_osdisk_1_7f58e6e6965445ff92b85b4427bdd65d',",,,"'turkiz-starfish-shahar-dev-001',"
turkiz,dev,turkiz-starfish-shahar-dev-001,containervm_osdisk_1_74b3111f209346f79bcbe1ea4561e3d1,disks,westeurope,13,not attached to a vm,  7 ,,,"'containervm_osdisk_1_74b3111f209346f79bcbe1ea4561e3d1',",,,"'turkiz-starfish-shahar-dev-001',"
olive,dev,olive-oil-amitpatzan-dev-001,smartbasebackend_osdisk_1_72ca9a0a3b2043489b537b0ef702786b,disks,westeurope,13,not attached to a vm,  7 ,,,"'smartbasebackend_osdisk_1_72ca9a0a3b2043489b537b0ef702786b',",,,"'olive-oil-amitpatzan-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,campus-inv-test,disks,westeurope,13,not attached to a vm,  7 ,,,"'campus-inv-test',",,,"'turkiz-starfish-soc60-prd-001',"
pink,prd,pink-flamingo-galatzarcive-prd-001,cloud-restore-instance-account-xiy5zrw6_os__1_4e58ecbdce6c4f74924b76252649970d,disks,westeurope,13,not attached to a vm,  7 ,,,"'cloud-restore-instance-account-xiy5zrw6_os__1_4e58ecbdce6c4f74924b76252649970d',",,,"'pink-flamingo-galatzarcive-prd-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,centmos_osdisk_1_2e45b6c23700431fb600b5d5a27939f6,disks,westeurope,13,not attached to a vm,  7 ,,,"'centmos_osdisk_1_2e45b6c23700431fb600b5d5a27939f6',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,dod-suspect_disk1_45f4f4ac112c40f39e5c487916f39a4c,disks,westeurope,13,not attached to a vm,  7 ,,,"'dod-suspect_disk1_45f4f4ac112c40f39e5c487916f39a4c',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,gitlab-runner-windows_datadisk_0,disks,germanywestcentral,13,not attached to a vm,  7 ,,,"'gitlab-runner-windows_datadisk_0',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,suspectvm-dod,disks,westeurope,13,not attached to a vm,  7 ,,,"'suspectvm-dod',",,,"'turkiz-starfish-soc60-prd-001',"
olive,dev,olive-oil-amitpatzan-dev-001,smartbasestaging_osdisk_1_f84df7bf02a94120b9b8057e918e3322,disks,westeurope,13,not attached to a vm,  7 ,,,"'smartbasestaging_osdisk_1_f84df7bf02a94120b9b8057e918e3322',",,,"'olive-oil-amitpatzan-dev-001',"
olive,dev,olive-oil-amitpatzan-dev-001,smartbasefrontendtest_osdisk_1_3020e1fdd2934d6da6624c866b7e8cb7,disks,westeurope,13,not attached to a vm,  7 ,,,"'smartbasefrontendtest_osdisk_1_3020e1fdd2934d6da6624c866b7e8cb7',",,,"'olive-oil-amitpatzan-dev-001',"
olive,dev,olive-oil-amitpatzan-dev-001,smartbasebackend_datadisk_0,disks,westeurope,13,not attached to a vm,  7 ,,,"'smartbasebackend_datadisk_0',",,,"'olive-oil-amitpatzan-dev-001',"
olive,dev,olive-hina-maabedetmeamnim01-dev-001,testvm_disk1_b8fe7f59176b4193bb026bc624b16c6a,disks,westeurope,13,not attached to a vm,  7 ,,,"'testvm_disk1_b8fe7f59176b4193bb026bc624b16c6a',",,,"'olive-hina-maabedetmeamnim01-dev-001',"
turkiz,prd,turkiz-starfish-tar-prd-001,analytics_osdisk_1_c39e5f209b46485193bf2db8f2ea1fb3,disks,westeurope,13,not attached to a vm,  7 ,,,"'analytics_osdisk_1_c39e5f209b46485193bf2db8f2ea1fb3',",,,"'turkiz-starfish-tar-prd-001',"
olive,dev,olive-hina-maabedetmeamnim01-dev-001,idfitness-test_disk1_bbac43fa63c84e70bb4d72b403ed91dd,disks,westeurope,13,not attached to a vm,  7 ,,,"'idfitness-test_disk1_bbac43fa63c84e70bb4d72b403ed91dd',",,,"'olive-hina-maabedetmeamnim01-dev-001',"
turkiz,tst,turkiz-starfish-tpaas-tst-001,yuv_osdisk_1_4dff12ed2c634ddb969b69a38a9fdb66,disks,germanywestcentral,13,not attached to a vm,  7 ,,,"'yuv_osdisk_1_4dff12ed2c634ddb969b69a38a9fdb66',",,,"'turkiz-starfish-tpaas-tst-001',"
turkiz,dev,turkiz-starfish-paasmam-dev-001,delete-me_osdisk_1_b6dfe8a5f43a4d068b1f3e314e89852b,disks,centralus,13,not attached to a vm,  7 ,,,"'delete-me_osdisk_1_b6dfe8a5f43a4d068b1f3e314e89852b',",,,"'turkiz-starfish-paasmam-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,az-jitsi3-shared-disk,disks,eastus,13,not attached to a vm,  7 ,,,"'az-jitsi3-shared-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,maayanvm_osdisk_1_00f3cde84fe7410e9a6f5648378a6225,disks,eastus,13,not attached to a vm,  7 ,,,"'maayanvm_osdisk_1_00f3cde84fe7410e9a6f5648378a6225',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-metadata-dev-001,gpu-test_osdisk_1_e771a7a8a96942c3806a3441cae60738,disks,westus,13,not attached to a vm,  7 ,,,"'gpu-test_osdisk_1_e771a7a8a96942c3806a3441cae60738',",,,"'turkiz-starfish-metadata-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,sysdigfwrd_disk1_8f7ec025391e4524987310ec9473c6ea,disks,eastus,13,not attached to a vm,  7 ,,,"'sysdigfwrd_disk1_8f7ec025391e4524987310ec9473c6ea',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,randomssh_osdisk_1_7b22534205cb4f53aaad5f4412dd1a93,disks,eastus,13,not attached to a vm,  7 ,,,"'randomssh_osdisk_1_7b22534205cb4f53aaad5f4412dd1a93',",,,"'turkiz-starfish-soc60-prd-001',"
gray,dev,gray-hippo-iafsod-dev-001,arosod-qnbzh-dynamic-pvc-0017b63e-a748-44b3-b8b3-931c663c9e8b,disks,northeurope,13,not attached to a vm,  7 ,,,"'arosod-qnbzh-dynamic-pvc-0017b63e-a748-44b3-b8b3-931c663c9e8b',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,prd,turkiz-starfish-tar-prd-001,disk1,disks,eastus,13,not attached to a vm,  7 ,,,"'disk1',",,,"'turkiz-starfish-tar-prd-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,maayankube_disk1_6e603653bbd04fef996d75d6206d23f9,disks,eastus,13,not attached to a vm,  7 ,,,"'maayankube_disk1_6e603653bbd04fef996d75d6206d23f9',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,randomvm_osdisk_1_27d7d4db650343c288e4239039013ebf,disks,eastus,13,not attached to a vm,  7 ,,,"'randomvm_osdisk_1_27d7d4db650343c288e4239039013ebf',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,kubemos_osdisk_1_37080154e9014bb19ffecf7cbfc43edf,disks,eastus,13,not attached to a vm,  7 ,,,"'kubemos_osdisk_1_37080154e9014bb19ffecf7cbfc43edf',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,rhel8test_osdisk_1_8e13e33a7a6546db92457cf7e6d388e1,disks,westeurope,13,not attached to a vm,  6 ,,,"'rhel8test_osdisk_1_8e13e33a7a6546db92457cf7e6d388e1',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,tst,turkiz-starfish-tpaas-tst-001,passrhel8.5_osdisk_1_47e86453721549ada7358e139e2a3b70,disks,centralus,13,not attached to a vm,  6 ,,,"'passrhel8.5_osdisk_1_47e86453721549ada7358e139e2a3b70',",,,"'turkiz-starfish-tpaas-tst-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,mydisk,disks,germanywestcentral,13,not attached to a vm,  6 ,,,"'mydisk',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-8f995b54-92c6-44ca-bd0c-ab594b461034,disks,westeurope,13,not attached to a vm,  4 ,,,"'datacluster-f8mdw-dynamic-pvc-8f995b54-92c6-44ca-bd0c-ab594b461034',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-5f63e03a-acfc-4dda-82e9-146a29bd665e,disks,westeurope,13,not attached to a vm,  4 ,,,"'datacluster-f8mdw-dynamic-pvc-5f63e03a-acfc-4dda-82e9-146a29bd665e',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-906d5040-5b5e-4fbc-a181-a0e57f0efeef,disks,westeurope,13,not attached to a vm,  4 ,,,"'datacluster-f8mdw-dynamic-pvc-906d5040-5b5e-4fbc-a181-a0e57f0efeef',",,,"'turkiz-starfish-paasmamram-dev-001',"
